22 2000
-7 -13 20
17 -2 -10
18 -13 -2
10 22 -9
20 -20 -4
-7 11 12
-11 22 -2
-22 -5 6
-8 2 -6
13 -11 -10
18 -2 14
17 -12 -17
-22 -19 15
4 5 -10
-8 6 7
20 -1 6
16 12 -19
10 19 -2
-8 -22 -17
16 -22 19
-21 -19 -9
16 1 -20
18 -1 -17
-14 -2 -17
-16 -7 15
-22 22 7
-21 12 -2
-16 -5 21
17 -10 15
16 2 -10
1 3 -19
-15 3 -10
17 -6 2
-7 13 -17
4 -4 14
11 -21 -2
-6 -3 7
12 -19 6
17 6 14
16 18 15
-6 20 14
-16 9 20
1 -22 3
1 3 13
10 14 -17
10 -19 15
-6 -4 -17
7 -10 15
18 -19 -9
-22 -3 22
2 19 -20
1 5 -17
-15 20 -3
19 5 -13
17 13 -10
-7 10 -21
-7 -21 -2
-22 -20 14
11 22 -21
18 -20 12
-8 -21 -1
11 -10 14
10 -19 15
2 -5 20
-6 -14 -9
18 -6 -1
3 -4 -18
-16 2 22
16 -11 22
16 4 -19
17 10 -12
16 -6 12
16 -20 -18
-8 12 15
9 20 -1
18 10 12
-15 3 -13
-15 20 6
-15 -19 -11
-7 -22 -13
-16 -21 22
13 -19 6
16 -12 13
1 10 -17
-15 -14 22
7 5 -9
-21 20 -3
-5 -20 -18
9 -22 12
9 -14 -4
8 4 21
-16 -6 14
8 -21 15
-5 4 -13
-14 11 -12
-6 -11 -18
9 -11 -2
-5 -11 -2
20 6 15
3 -3 -5
1 -1 -18
-8 -19 15
-8 8 -17
3 12 -11
-6 -3 15
1 14 -17
9 18 -9
9 2 14
-7 -2 22
-3 -21 -19
2 -21 -10
16 2 14
16 -8 22
-7 -3 -10
-7 13 9
-21 12 -3
3 20 -13
10 20 -3
-8 16 -22
-12 7 15
1 -1 -2
-22 12 4
9 -22 -19
19 -4 7
17 2 -5
-6 11 7
16 -10 -9
-13 -11 6
2 3 7
-16 -11 14
2 -6 -19
9 19 1
8 -6 -4
-22 18 3
19 14 7
-8 3 5
-15 -5 -9
9 -4 14
-21 -20 6
-8 -14 22
18 -5 13
-8 -5 12
20 -10 22
3 -2 7
-14 19 -5
-21 15 -17
9 -14 6
16 10 11
-21 20 15
-7 -6 -2
20 21 -2
-15 20 4
-16 -15 -10
16 20 -4
-14 -12 -17
17 -13 22
17 12 -10
-7 -21 6
1 11 -5
9 -11 6
-15 -14 12
2 12 -1
17 20 13
11 6 22
4 -19 22
-7 -12 -15
11 14 -9
11 4 -13
2 -4 14
-8 21 -9
-7 -5 -20
-22 12 14
9 -3 -10
-8 -15 -5
8 11 -13
17 -5 -7
17 12 7
16 15 7
5 -13 21
-14 -6 5
17 2 -13
19 -19 -2
1 10 -17
-15 -5 21
-15 -13 -12
10 -18 -1
-16 -8 -22
11 -11 -1
-20 21 14
16 1 -11
9 12 -9
8 -14 12
11 -21 -2
-16 15 -17
-7 -20 21
8 -6 -17
8 21 -17
-7 1 22
9 12 -10
-14 3 -3
-3 -12 13
11 20 -1
1 19 5
17 4 -1
16 20 7
20 -2 15
8 -22 21
-16 5 7
9 10 4
5 12 4
-12 -11 -1
-6 -4 -17
8 3 11
17 12 -3
17 -4 -17
17 10 12
16 -22 -5
20 -12 -19
-14 -20 -2
9 19 -5
18 -6 -12
17 -11 7
5 -19 7
-8 -4 15
-16 1 -11
-8 -21 4
16 -22 10
-8 17 -22
9 11 -17
-7 10 22
16 -21 14
-22 -4 14
-19 -3 -10
19 -3 -5
-16 -20 -10
-16 1 -17
1 -5 12
-4 -20 15
22 -2 15
-16 1 -20
-15 18 19
-15 18 6
-5 -4 -11
-7 -4 -9
16 -3 -9
-22 20 13
19 -12 14
-8 9 -2
19 13 -1
2 -20 13
21 -22 -3
16 -5 15
2 -6 12
-16 -14 -22
3 -5 -18
8 11 -12
16 -3 -2
16 9 6
-8 2 -22
-19 20 -4
-12 4 12
-14 11 6
9 3 -20
-14 -22 13
17 -12 13
19 -19 -9
11 5 -17
16 17 13
18 -5 6
-8 17 2
-6 10 -12
19 -3 22
13 -21 5
18 -6 -10
-3 -13 13
-16 -4 -2
-13 13 -17
3 -6 2
7 6 15
-8 9 21
21 14 15
5 -13 13
-7 -6 -13
-16 1 15
-15 -5 9
-3 11 -11
17 -1 15
16 10 22
-13 -12 6
3 -21 6
17 -21 -18
-22 21 -3
18 19 14
1 10 3
-19 6 14
-21 12 -3
-22 -13 14
1 2 14
2 5 -18
19 13 22
1 18 7
17 3 -13
21 -2 6
9 3 -18
-16 17 -18
16 1 -13
16 -12 -19
-11 -14 5
19 6 15
-4 -2 -1
-7 -13 -20
21 6 -17
19 -21 6
3 12 -1
-22 -11 15
16 -22 21
-14 3 -1
-16 17 -12
-20 -1 7
-13 13 7
21 12 -11
8 -22 21
16 21 -10
2 -5 -2
11 19 7
13 -1 7
9 21 14
16 1 -21
19 13 6
-7 -11 -10
17 7 15
-8 17 -5
-12 -10 -17
16 -4 -20
16 6 -18
18 11 -4
1 19 -2
16 -6 -11
16 -16 -11
-16 12 -2
-16 11 -5
16 -5 -10
17 -11 9
-16 17 -6
-8 10 -20
1 -6 19
-20 -11 -1
17 18 20
17 19 13
-7 13 15
16 -6 13
-8 19 -11
-16 -14 14
9 -21 -12
19 6 -9
2 3 15
8 17 13
17 10 11
19 -4 15
3 12 -17
11 -20 7
8 -7 -11
-12 -3 7
-7 -5 -12
18 -21 22
17 -11 -2
-14 -5 -3
16 20 14
16 18 21
12 13 -18
16 9 -18
9 -20 -1
-15 2 15
-14 -12 14
3 -4 -5
2 14 -9
-22 12 5
1 18 12
-12 5 -9
-6 10 2
11 14 -21
3 -14 11
-7 21 -1
1 2 4
1 -13 -3
11 -14 19
10 -10 22
17 2 11
19 20 -21
1 -10 7
18 19 5
10 -14 -11
-16 -5 -21
8 10 6
1 -14 5
1 -10 14
-19 -20 -11
-7 14 15
9 -6 20
4 12 -17
9 18 -21
-14 -4 -18
16 -16 11
16 10 -22
9 -22 14
-22 -5 -18
-14 3 -11
17 19 13
9 -3 21
-16 -12 -3
10 3 6
16 18 -20
20 -19 14
-16 -5 -9
-6 -20 -17
2 3 -3
1 -3 14
17 -22 9
1 -5 21
11 -20 -19
16 17 -12
-3 5 14
-15 -20 15
17 13 21
-15 18 2
-14 -21 -9
18 7 -9
-15 3 -9
-11 21 -17
-8 -4 13
16 3 -10
-13 -20 4
13 -19 -1
-15 4 13
10 20 4
13 19 5
-19 -4 20
3 -12 -17
8 -11 5
17 -1 15
-8 -12 -17
18 2 -6
16 -12 7
-14 -20 -17
-20 -19 -9
8 1 6
-6 -14 -9
-6 14 15
-8 19 5
19 -19 22
11 20 21
1 21 -11
-22 14 22
9 -4 13
17 -5 -2
10 22 15
10 -2 14
12 -20 15
-19 5 6
-22 13 -18
17 -20 -10
-16 -20 -17
-22 19 5
-3 -1 -9
-13 5 6
-11 13 -7
-15 4 -17
-15 -19 1
9 -5 -12
13 19 5
17 -4 7
-6 -21 14
1 -10 -9
17 -4 20
-7 12 -1
9 4 1
16 -13 -1
-16 2 -22
-8 -21 -5
17 5 -18
-5 4 -9
-9 -12 15
-13 -19 7
-14 12 6
16 -11 -17
19 20 -20
2 3 6
8 -5 -19
10 18 -18
-7 -12 12
17 -20 -2
-14 2 -9
-7 18 -12
2 -3 15
18 4 14
1 19 4
-13 22 -9
-12 -3 -1
-16 1 -2
9 -14 3
17 -22 19
18 -13 -17
12 -2 15
-7 -22 13
16 6 -10
18 14 -18
-8 -20 -11
-15 12 9
-21 -1 7
-3 5 13
-16 16 5
17 2 -9
-15 1 15
-21 -20 -17
17 -14 5
10 18 19
-16 2 22
-6 20 -1
-21 -10 7
19 -7 -13
9 -11 5
-8 18 -2
18 10 -1
7 -11 -9
-16 16 2
-3 -10 -17
-5 5 14
-8 -14 21
10 -22 11
18 -20 -11
9 21 7
-6 6 -9
18 3 -9
8 3 -17
2 3 13
-7 -14 21
-15 19 -19
-6 20 -2
3 22 -18
-3 -10 22
10 20 -3
-15 -11 -9
-6 11 7
8 -22 -11
-15 18 -3
4 -19 -17
-7 21 -18
-22 -11 7
2 18 12
20 -11 -1
9 -11 -2
-8 -14 -3
-8 16 18
-8 -6 -4
-8 -19 -18
-4 -19 22
-8 -15 10
-16 1 -18
18 2 7
16 -6 22
1 19 22
2 -11 -9
3 12 14
1 -14 5
-6 -11 -1
-5 -20 14
1 -14 13
-22 -13 -11
-16 -5 6
10 -11 14
-7 6 -9
9 -11 -1
9 6 7
-5 4 7
10 -21 -19
-6 -5 20
-12 14 22
10 -19 -17
-16 2 12
-3 13 22
-8 9 -6
-7 3 -18
11 -4 -12
16 17 21
8 1 -10
-14 19 -3
8 10 -20
-14 -21 6
3 20 6
9 -2 -1
2 -13 12
17 -22 3
16 1 19
-8 17 12
-6 4 7
-16 17 -4
4 -2 -10
8 -5 -20
-7 -19 14
-10 -2 -17
-7 -10 7
16 11 -11
9 11 -10
18 -18 -2
-15 -11 -3
-7 11 6
-22 11 -12
-8 -12 13
12 13 -10
20 -3 -9
-19 -3 15
20 21 -18
17 -15 -1
16 19 15
2 -13 4
17 -14 14
-14 20 -9
11 -12 -1
-8 19 -1
17 -13 -17
8 2 6
17 -6 13
18 -12 -1
-19 -10 7
19 12 14
-16 4 -9
18 -4 5
-22 18 -3
-16 -12 -18
-8 9 3
8 2 -20
-16 -6 19
-7 11 13
-15 13 -11
-13 -2 -5
-22 -13 -19
-16 -5 14
-8 1 -2
-8 -16 -17
-4 6 22
-16 1 -15
-4 12 -20
10 -12 15
16 5 6
3 20 22
-4 -3 15
11 -11 15
8 1 19
20 -19 6
8 -13 -11
-6 4 -17
3 22 -18
1 14 -10
1 12 -10
1 18 -4
16 9 -19
1 2 17
17 12 13
-15 13 -1
-16 4 14
1 -10 -17
-6 -20 5
-15 19 -7
-5 20 14
-21 -20 -11
-16 3 5
9 13 15
1 -6 -19
-7 12 15
2 19 21
-12 -19 -10
-15 -13 9
10 -10 -2
20 -4 21
-16 20 -10
16 11 -5
3 19 12
9 -14 -4
8 9 -20
18 -13 20
-16 -6 19
-7 -19 5
12 -4 -1
-5 13 -18
16 18 -6
17 20 13
8 -22 6
2 11 4
19 -9 -17
8 -15 17
-15 -20 14
-8 -16 -19
-22 19 -17
-15 17 -18
-16 -14 5
1 9 14
-15 20 4
7 14 -17
4 -20 5
8 -14 -12
-14 3 5
1 -21 -9
-22 -10 -17
-7 -20 1
16 9 -12
16 -21 13
-22 -5 7
-13 -4 -5
11 -4 21
17 4 15
-7 20 -11
4 21 15
-22 -18 15
17 -6 14
-15 -4 -9
-21 -2 -18
18 -3 -9
-3 -6 -11
-21 6 -17
9 -20 22
2 18 -13
-6 -20 -18
21 -12 -3
15 7 -9
-22 -12 14
10 3 13
-16 -1 -9
8 -22 -13
-8 17 15
13 -3 -17
21 11 5
10 11 20
4 13 7
20 13 -10
16 13 -3
18 5 -1
2 19 -11
-2 22 14
13 -3 -1
-12 -1 -9
-22 -11 7
-3 14 -18
9 -3 14
1 3 -15
17 -22 2
18 -13 -18
-14 3 -1
-16 14 -18
-5 4 -18
3 4 -17
2 -21 -19
10 -6 -3
10 5 14
-13 4 15
16 9 -2
10 -6 -14
13 -2 -17
20 -2 6
-14 -5 6
18 -12 22
-7 3 6
2 -6 -17
9 3 4
17 -13 -1
-1 -18 -17
2 -5 -12
16 1 7
1 -13 21
-6 -5 13
-6 18 -1
-14 -4 21
1 -20 -18
16 -5 -10
8 13 -17
-7 1 7
16 10 -20
-5 5 -13
8 9 14
-15 -21 4
9 -6 -3
-16 8 14
-14 3 20
-12 -2 14
-7 2 20
-11 21 6
8 2 20
-8 -22 5
3 13 -13
8 10 -1
-8 20 -9
17 -12 -11
19 12 5
-6 11 14
-14 19 22
10 -19 -1
-14 12 22
-16 19 -21
-4 -3 15
-15 5 -18
18 -14 5
-15 -11 6
-16 -19 14
1 -12 6
9 -21 22
-15 -11 -1
-16 13 -9
-3 21 -18
16 18 -21
1 -19 -18
11 -4 22
18 -6 13
-16 -14 -12
-8 11 -19
-15 14 15
-16 17 4
9 -13 -7
19 -20 7
-12 -10 15
-8 -6 -18
8 -2 -18
1 -12 -11
-6 -20 -18
-16 -20 -18
1 -11 9
8 -14 12
-5 19 -17
-7 3 -2
9 22 -2
13 -4 5
1 -14 -4
13 -14 -3
-16 21 7
-15 10 -22
1 5 17
16 -6 -12
17 -12 -11
14 6 -18
8 -5 -11
-3 6 -9
9 -4 22
-7 -9 15
-16 -20 -9
18 6 7
-8 -7 21
-13 -3 6
8 -11 15
18 11 -1
19 14 15
-20 21 -18
-12 -3 15
4 -18 7
-16 -12 -1
-16 17 -4
-15 -21 -18
17 5 -10
12 -12 -19
-22 4 -20
8 19 12
-22 -13 -20
-5 -4 22
17 -14 6
-7 -5 -9
7 -1 -17
-22 19 13
5 -11 7
16 -6 11
-16 -15 -5
-6 2 14
-16 18 13
-16 4 15
-16 2 -6
20 -10 -18
12 5 -2
2 11 -2
1 22 15
-22 4 -10
-8 18 15
-3 -19 -10
18 20 7
11 6 -13
-16 -6 21
4 13 -17
-22 20 4
3 14 -10
-20 6 15
1 19 -4
3 -11 -2
11 19 -10
17 18 -21
-8 -13 -12
7 -3 15
11 3 5
-8 4 -20
16 -15 -1
16 -20 -17
18 22 -18
-8 4 -1
8 -6 -13
-14 -5 -3
-13 -19 -2
-16 -14 22
-5 -10 -9
16 12 6
-22 -21 15
16 -14 -17
16 -20 7
-15 -20 -19
12 -3 -9
18 -19 6
-22 19 5
9 -5 -9
1 -20 -9
18 -21 13
19 22 6
-12 4 -2
-16 -22 -21
-22 -21 13
-8 -15 8
18 -18 14
-22 6 -17
2 -6 14
-20 5 22
-21 4 -19
-11 5 6
16 -19 -2
-8 1 -6
8 -14 15
9 18 -4
16 -22 20
-3 6 15
-8 18 -20
16 -21 -3
-15 15 -9
10 21 -1
-16 17 -4
-21 -11 -17
-21 20 -11
1 -5 -4
10 4 -18
9 -9 -17
-15 -21 -7
3 5 14
-16 10 -10
10 -22 -3
10 -19 -10
-22 -20 -11
-16 -1 14
2 -17 -9
-15 3 15
-4 -20 -9
11 19 -4
16 21 -18
17 -15 7
-8 -7 10
18 11 15
-8 19 -20
1 -3 7
11 -10 15
16 -1 -18
8 11 -11
10 -19 -17
17 3 15
-16 -5 -18
19 12 21
9 1 -10
9 3 5
17 -21 -1
18 21 -9
-7 19 22
1 12 -11
-12 -2 -18
8 1 -13
2 10 -9
19 4 15
-8 2 -17
-5 -4 -17
-21 20 6
-8 21 -10
-7 -14 20
4 5 14
-7 -13 -3
-8 9 18
17 -19 7
-20 -1 -17
-15 12 -7
-8 18 -1
10 -4 5
-8 -7 9
1 -3 -9
8 -7 10
-7 -14 22
5 -18 22
-11 20 13
-16 -12 -10
-16 -22 -9
10 5 15
-8 -14 -5
-14 -10 22
10 -19 -2
2 19 7
-9 6 7
11 12 -17
-8 -13 -18
-16 12 14
-16 9 13
-7 18 -19
-8 -15 11
16 2 -1
-12 -4 -19
-16 8 -22
-22 -21 22
8 20 -1
17 3 -11
19 20 -13
17 -3 15
1 -22 5
8 17 -12
8 2 12
9 -20 -18
-16 11 -21
18 -13 13
-5 -2 15
10 11 4
16 9 -5
9 -12 14
-16 17 7
21 -18 -17
5 -3 -2
8 14 -2
-6 4 21
1 -13 20
-15 15 -9
-7 3 -10
-22 11 -12
-4 -11 -9
8 13 -19
-19 -20 5
-7 11 -12
9 4 -3
-16 -13 -9
-14 -13 -17
17 10 -13
-6 14 -10
-3 6 -2
21 -2 -17
16 -21 -2
2 18 -21
17 -21 -7
2 20 -3
13 -10 -17
4 13 -17
-15 18 -4
21 5 -9
-20 -19 -17
-21 5 -5
8 19 -9
-22 -20 22
-14 -5 12
17 2 12
16 18 -18
12 -1 15
9 11 14
10 -2 -17
-3 -11 -2
-15 -6 -4
13 -2 -17
8 19 11
19 -12 7
18 10 19
-6 -12 6
-4 14 -1
-8 10 21
-6 11 5
16 21 -10
-14 19 7
11 -3 -2
-15 2 21
-22 5 22
-20 -1 -17
8 19 -9
8 -15 9
4 -20 22
-19 13 -18
17 -11 -9
9 -14 -12
2 3 -4
-7 -5 4
-13 5 -18
2 -5 -19
-7 -6 3
-9 -4 15
8 -15 17
-7 -22 4
10 -14 22
-8 -20 -9
2 -13 6
-8 11 5
-16 11 -19
-13 -20 -11
12 -4 4
1 5 22
-22 -14 -11
1 -22 -9
-5 15 -17
17 -4 -10
-5 -19 -13
1 20 15
-6 -12 20
16 9 13
-8 -12 7
-4 5 15
8 17 -20
1 -2 15
4 -12 -18
19 4 -17
-1 -10 -2
19 21 14
2 -12 -9
-13 -12 -3
-15 -3 17
20 12 5
-7 -6 -20
16 20 4
-20 20 -3
-6 3 22
-4 20 -18
8 -10 -18
16 -16 -19
11 -20 -13
12 7 -17
16 9 -6
17 10 -18
3 -4 13
-8 18 6
-8 -4 -2
-15 20 13
-6 11 13
-8 -7 7
-8 -21 -12
9 19 13
16 -11 -2
-7 -13 -9
2 14 -9
-16 -4 15
-16 20 -2
16 9 18
-16 10 11
-13 -3 -9
16 19 -18
18 12 -18
10 12 4
16 -13 13
16 -22 12
9 3 -12
-3 2 -19
-7 -13 4
8 -19 -9
-22 12 7
-13 12 -2
4 -3 -1
-13 -11 -1
1 10 21
17 18 14
-6 4 -10
-15 12 -19
-15 19 4
-8 17 -20
17 18 -11
19 11 -13
-8 -22 2
-12 -3 14
17 13 14
-7 5 -2
-16 -5 6
10 -12 -1
-5 12 -10
19 20 -10
1 18 19
1 -6 -13
8 -19 6
18 -21 -10
10 6 -10
11 18 -21
1 13 -10
8 6 14
-21 -12 -13
-8 20 -9
-14 20 5
16 -22 -1
-14 -4 -18
8 4 21
10 -3 14
-16 22 -17
-16 -8 -19
-14 13 7
16 -22 3
-21 -20 12
-22 -5 -4
-7 -14 12
12 22 7
-22 -12 -1
-7 12 22
12 -11 7
-7 21 -1
-22 -4 5
21 -11 -18
16 -8 2
11 -20 -2
2 5 6
-7 -20 5
-8 17 -6
-15 5 -17
-11 -18 14
11 17 -21
9 18 1
11 4 -19
16 5 6
16 19 5
-8 17 7
16 -13 7
17 -14 12
9 -7 -9
1 -13 -18
-16 -22 22
-22 21 -11
1 -20 22
8 -7 12
-20 13 -18
-8 -6 -1
3 -10 7
-16 -20 15
-14 2 22
-19 -1 15
5 14 -2
9 -5 7
-7 4 -18
-3 -5 -11
-10 22 -17
-22 21 6
-16 22 -9
-22 -5 -19
8 9 -14
-16 -14 5
-15 12 7
-7 4 14
18 -21 -11
11 3 15
8 -14 2
5 13 -2
-6 19 -11
2 6 -17
-7 18 -14
16 -20 -4
-15 -19 -1
-22 14 -9
-6 -3 6
16 1 -11
-8 -18 7
-14 -4 -19
-21 20 -5
-16 4 -9
16 11 3
-8 8 12
-16 -11 -2
-8 -16 -13
-8 8 -3
-8 -1 14
8 -10 7
-8 18 -9
8 -22 -12
-8 1 21
-16 22 15
1 18 20
8 4 -9
-8 -15 -4
-16 17 19
20 -4 -10
16 15 7
9 20 -12
2 21 6
19 -4 -11
9 -3 7
-14 -19 -10
-22 -5 -20
-6 -11 -9
-15 -6 22
-13 -12 -3
2 -13 15
-14 -12 -3
8 -11 -1
9 -13 12
-6 -12 -3
19 6 7
8 17 3
-8 10 4
-7 -3 15
-5 -3 22
-5 -11 -17
3 12 -2
19 21 -5
16 1 -14
-21 -20 5
20 -1 -17
10 19 6
11 14 -10
-7 -13 -5
16 5 -19
-8 -7 6
19 -21 15
-7 3 21
-16 -18 -1
2 21 7
17 14 -1
9 20 14
-20 20 5
-19 -11 -18
-14 -6 20
17 2 -11
-8 18 -17
-15 17 6
1 -6 15
8 -4 7
13 -2 22
4 5 7
-6 -21 13
9 21 -11
1 -5 6
1 -21 6
17 3 7
-7 -14 -12
10 11 -21
-22 -14 14
11 20 -1
-16 16 13
8 10 3
-15 2 -2
10 20 15
9 20 -12
1 -22 -6
13 6 -9
-21 20 -11
9 10 -10
-15 -22 -12
16 -19 15
14 -10 -9
1 5 -2
-15 -5 -4
3 -1 -9
-7 -4 -19
-4 -12 13
4 -20 -1
-15 18 -19
17 -1 15
-21 -20 -17
11 -7 -21
-8 10 12
-16 9 3
-13 -20 13
8 11 7
-12 20 -9
3 -11 -10
1 2 7
16 -5 -20
3 -4 22
-16 17 -11
-15 20 -11
8 -13 -18
-7 -22 -12
8 -13 4
20 13 14
-7 -19 -11
-8 11 22
17 -12 4
-15 10 4
10 -21 14
-11 14 -17
-3 -2 7
-3 6 -17
-16 -15 -13
-16 10 -17
17 -19 -3
-22 -5 15
-8 -14 -2
-8 2 -4
8 -5 -1
-8 1 -20
10 -22 2
10 -13 14
11 20 22
-3 -22 -19
-16 -5 21
-16 -2 7
19 13 -2
1 -10 15
2 -13 21
12 -19 -1
14 22 -9
-22 10 3
-3 -19 7
-8 -21 -12
19 -12 -19
-4 -18 -9
3 -3 14
-8 11 20
2 -14 -3
-5 14 -17
-21 12 -17
16 20 13
9 -3 7
19 21 -1
3 -21 -3
1 -22 11
-7 -18 -17
10 -5 -19
-14 2 21
10 -14 -13
-8 2 -17
-7 -22 11
2 12 6
-5 -12 15
-22 21 -10
-6 -4 7
-16 17 -21
-16 22 14
-9 -19 7
16 3 15
-16 17 -1
5 -3 22
16 -6 -5
-16 -11 15
-5 -12 5
-5 -21 -13
3 4 20
-6 -5 12
-3 22 6
3 -4 -1
9 -14 -17
8 -11 22
17 -20 -9
-8 -3 -18
-16 9 -22
-7 12 -1
16 -2 14
2 13 7
-16 17 22
8 17 20
18 -4 7
2 -3 -10
10 3 -10
16 10 -19
-8 -15 -21
-21 -5 15
-7 10 -10
-5 20 -12
-22 14 6
17 10 20
-6 3 -2
16 4 -9
3 2 11
-8 18 22
3 5 -1
3 -3 -13
-16 15 -17
16 -22 3
-22 3 13
16 18 13
19 11 -4
-4 -11 -10
10 5 15
-15 5 -7
-16 13 14
-13 5 22
-16 16 7
-7 -13 13
-8 -7 15
-6 -5 5
-15 3 17
22 -1 14
8 -22 -20
-8 2 14
-22 -14 5
9 3 -4
2 4 14
-22 4 22
9 -13 -2
-15 -1 22
5 21 -10
10 -5 22
-8 -22 -18
-16 5 -17
-15 -19 -1
16 2 20
-7 18 14
-6 -5 20
-15 2 -7
-8 19 7
1 -22 10
-21 -20 -3
2 14 22
-6 21 15
9 -7 7
-22 19 6
-7 -3 17
11 20 -5
8 -21 15
-14 10 14
-7 -6 15
-7 3 13
9 -4 -18
10 -3 -1
-7 18 21
17 2 7
3 5 14
11 -4 13
-3 14 15
-16 -20 -11
-6 -5 12
-14 11 21
-5 -3 15
-7 10 -1
-21 19 -17
18 -13 15
2 -19 6
17 4 -20
-8 -5 -20
11 -10 -13
-15 10 -13
-7 -14 -1
-16 -3 -10
1 6 -17
1 -11 17
12 -12 -1
4 14 15
-14 14 -2
13 -21 -11
10 19 -20
8 -8 20
1 -22 3
19 4 21
8 -1 22
1 19 -13
19 -11 14
-7 12 -11
-14 -6 -18
-22 19 12
16 -14 -9
-22 -19 15
1 2 -13
16 -7 15
10 -17 7
-12 12 15
13 14 -9
-16 -15 15
-13 -20 -12
-11 13 17
9 -22 -20
3 5 -21
18 10 -19
-16 19 -21
3 15 7
-7 20 9
-15 11 -3
-15 7 -9
9 -5 21
-8 18 -3
16 9 -13
-21 -19 -2
16 -14 14
4 21 -1
8 -7 11
-19 20 -20
10 -10 -9
17 11 -20
-16 -12 4
-16 3 -5
-7 2 -21
16 1 -13
1 20 -11
8 -15 -14
16 -15 -19
-15 -1 1
-7 -14 -4
17 15 -9
-8 -5 22
8 -12 -18
-22 -13 -4
-8 8 4
-11 2 13
-16 -21 22
-5 -3 -18
16 20 -4
16 10 -14
-13 -20 -9
-8 15 -9
10 15 7
4 5 7
-8 -4 14
-16 -15 1
9 -13 15
13 -19 -2
20 -4 -1
-8 -6 12
13 12 -12
16 18 -21
8 -7 -1
-21 4 7
-7 -5 21
-21 -2 -13
-16 4 15
17 5 22
16 1 4
3 -12 14
1 18 -19
9 -6 22
8 -12 21
16 -6 -2
4 12 -18
17 -13 15
16 10 -4
21 3 13
1 6 -10
10 -4 13
2 12 22
-16 11 -20
12 -3 -2
-17 22 -1
-22 -1 -9
-8 21 -1
8 -20 22
12 -11 -1
10 19 -20
1 -22 6
-15 -4 -19
5 -10 -1
17 19 -1
1 -20 22
-13 12 -18
9 18 -21
8 20 -3
-12 15 -17
-22 14 -9
-12 -4 21
13 -11 -18
9 19 -4
-6 19 4
-21 14 7
3 -21 6
-13 -12 6
-19 -6 5
-5 20 -1
-15 -12 7
-16 4 -10
10 -22 -19
2 20 -1
-15 3 5
-20 4 -18
-5 -3 -18
-4 5 -10
