25 1000
10 -3 23
19 -20 13
-14 -22 7
1 12 -10
13 -11 14
18 -21 12
-5 12 -11
-15 11 -20
-7 4 14
18 -22 15
17 11 -18
11 -2 14
-23 -18 7
18 -12 14
25 18 3
-5 -17 -9
-6 -19 7
8 -23 22
21 5 -18
17 5 -7
-22 11 -1
-23 18 12
-24 11 -9
24 10 -2
19 20 -25
-12 -2 -9
25 22 -9
8 -23 -18
9 10 -20
-5 12 -1
16 -5 -3
-4 20 7
-3 11 21
-16 -6 7
-4 -19 -1
17 19 -4
-6 -19 23
-6 -3 -2
16 -23 -6
-3 11 5
-23 -14 -7
1 3 -15
3 -25 15
2 -20 21
-13 -20 5
16 -11 -10
-16 1 -19
17 -21 25
-16 12 14
-7 -18 -9
-24 -5 -20
-8 5 -18
-13 15 23
-7 12 -9
9 10 -3
-6 -5 -19
3 -20 -17
-24 -19 -25
-6 19 -3
-5 -2 15
-14 -17 23
11 -13 -3
-23 -12 -25
9 4 -19
-11 -13 -3
1 -4 7
9 6 -18
25 14 -17
-21 -10 14
-14 -2 7
-7 -13 -10
-7 2 5
-15 18 -19
-16 10 4
-16 12 -1
-22 12 6
18 -21 21
3 -11 6
10 5 -1
-16 8 -3
-21 5 -18
-23 4 6
8 18 -22
9 -3 7
19 -14 11
25 12 21
-16 12 -3
11 -1 -9
9 -5 -19
-23 2 17
-7 13 15
-19 -10 6
-21 -12 6
8 6 -10
-23 1 23
-8 -11 -25
-6 7 -25
-14 5 -19
-24 -21 -2
-7 5 13
-22 -4 7
-4 -20 -25
-23 -19 14
17 -14 23
-7 10 -21
24 10 -13
-7 11 -2
24 17 11
2 19 13
24 11 -4
-16 4 22
-19 4 13
5 14 -25
-24 3 6
-15 -4 -3
4 5 7
25 -10 6
-22 19 -17
16 -24 -9
-15 -22 -19
-6 20 -18
4 -19 23
1 -5 9
-16 18 19
25 -13 -19
-20 -19 -9
-13 -20 -11
17 12 -17
-24 16 20
-23 -11 23
24 3 -2
24 17 -11
-14 -11 15
16 -12 -18
-12 4 -10
-13 22 14
-24 2 20
-7 14 -18
-5 4 22
-14 -19 15
-7 -14 -11
-4 -3 -2
-7 -4 -9
25 20 -15
-16 25 -25
1 10 -10
-19 21 -17
-24 -14 -9
24 13 -25
9 -5 -9
24 10 6
9 -4 -1
19 -4 5
20 12 7
16 14 6
17 -22 -13
-15 19 15
19 -3 22
-5 -2 22
18 -13 15
16 -11 -1
-22 6 14
-24 -7 -6
-23 18 11
-23 -4 15
18 -19 22
-15 -22 7
-23 -5 -18
-16 -11 14
-8 -14 21
8 3 -17
-13 -20 14
5 6 22
-8 19 -2
18 12 -3
-23 12 15
8 -13 -20
3 -20 -2
1 15 23
-6 10 23
-12 -20 -9
-16 -8 11
8 19 -1
-22 -10 -17
1 4 -20
3 -12 -17
19 5 14
-16 -6 19
-5 20 14
2 12 -10
-14 -11 -1
-24 -6 11
8 4 -19
-4 -19 23
-5 21 -18
-5 20 -9
-24 -15 6
-15 21 -10
-23 4 -19
16 1 22
-4 -18 -25
16 21 -10
-8 -24 2
-8 -13 -17
-6 4 -3
2 -12 -10
8 -23 -10
-16 -25 -9
-23 10 17
-7 20 5
-16 4 -3
-24 18 -4
10 -18 7
-22 5 -17
-24 -21 -1
-15 11 23
23 20 -9
-4 12 -2
11 12 13
24 9 20
8 5 7
-21 13 -13
9 -19 -10
16 -7 -16
24 2 21
-8 11 -10
-7 22 6
1 11 12
24 -5 6
-15 21 15
16 -22 -9
-15 3 -10
-14 -5 7
25 -5 13
1 20 -9
-20 -1 -9
8 12 -19
10 -4 14
-15 -11 -25
2 -22 19
17 -5 13
-8 10 -6
18 2 -2
-14 -5 -25
2 12 13
8 12 -4
-20 13 -25
18 -13 23
18 10 5
9 20 14
-8 17 19
1 2 14
8 21 23
9 -4 22
24 19 -18
16 17 -3
-23 21 -19
17 -5 5
-16 9 -14
17 11 14
25 -20 -11
-16 -5 -21
9 -14 15
-8 -11 21
-8 -16 2
18 -19 23
8 1 18
16 -23 23
-23 -4 21
24 25 17
3 6 -25
-24 -15 12
1 -13 -2
-7 -14 -12
-7 20 -25
-7 -19 -2
-7 12 -9
9 -3 -18
-12 -20 -18
-16 8 -14
-24 -15 -17
5 -19 6
-7 19 -3
-8 21 15
24 9 11
-14 13 -17
9 4 -3
-14 11 -18
2 -12 21
2 -22 -3
-6 -12 -2
4 -4 -20
4 -19 -17
1 -20 -18
18 -3 6
-21 -17 15
17 11 -12
10 12 15
2 18 19
-21 -17 23
-16 1 21
-22 3 -20
2 -14 -13
17 -22 -9
1 18 14
21 -20 -12
-6 20 -12
-24 12 20
-24 -7 10
-14 13 23
-24 7 -9
24 20 23
-20 -11 6
-4 22 -10
-16 9 -21
18 20 -20
-19 13 5
-16 4 13
9 -5 12
8 11 15
10 -1 23
-16 5 6
8 -2 14
-1 -10 7
-22 -21 -25
-23 10 19
-5 6 -9
